title,brand,mpn,upc,product_type,primary_category,smart_home_ecosystem,brand_tier,condition,condition_score,price,wasPrice,discount_pct,savings_usd,has_discount,price_tier,log_price,price_per_channel,sold,available,sell_through_rate,demand_tier,revenue_proxy_usd,log_sold,log_revenue_proxy,sqrt_available,resolution_class,has_night_vision,has_color_night,has_wide_angle,has_solar_power,is_battery_powered,is_wired,has_wifi,has_poe,has_cellular_4g5g,has_pan_tilt_zoom,has_motion_detect,has_ai_detection,has_two_way_audio,has_voice_control,has_floodlight,has_local_storage,has_cloud_storage,is_doorbell_camera,is_outdoor,is_indoor,is_nvr_dvr_system,is_complete_system,is_refurb_product,channel_count,pack_quantity,tech_richness_score,commercial_value_score,seller,seller_city,seller_state,seller_country,ships_to_count,excluded_country_count,global_reach_score,is_us_only_shipping,days_since_update,listing_freshness_score
8 Channel H.265+ 5MP Lite DVR HD 1080p Recorder for Security Camera System,Kerui,,,Digital Video Recorder,Surveillance Dvrs & Nvrs,Other/Generic,Other Brand,New,5,79.11,,0.0,0.0,0,Mid-Range ($75–$200),4.383401,9.89,34.0,9.0,0.7907,Medium Demand,2689.74,3.555348,7.897572,3.0,5MP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,8.0,1,1,60.97,Seller_40,NJ,United States,United States,1,28,0.0345,1,8.0,97.8
AOMG H.264 Network Video Recorder NVR 8 CH,Aomg,,,Network Video Recorder Nvr,Surveillance Dvrs & Nvrs,Other/Generic,Other Brand,Open Box,4,45.0,,0.0,0.0,0,Value ($25–$75),3.828641,5.62,,,,No Sales Data,0.0,0.0,0.0,0.0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,8.0,1,1,17.58,Seller_41,Naples,FL,United States,168,11,0.9385,0,151.0,58.6
Wifi and 3/4G GSM Home Burglar Security Alarm System Auto Dial with Smart Life a,Unknown,,313097460412,Other,IP/Smart Camera Systems,Other/Generic,Generic/Unknown,New,5,118.43,,0.0,0.0,0,Mid-Range ($75–$200),4.78273,,1.0,1.0,0.5,Low Demand,118.43,0.693147,4.78273,1.0,Unknown,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,1,49.76,Seller_42,Dallas,Texas,United States,1,15,0.0625,1,3.0,99.2
ANNKE 8CH 4K 8MP 5IN1 H.265+ DVR Video Recorder for CCTV Security Camera System,Annke,AU-DT81DW000,,Dvr Recorder,IP/Smart Camera Systems,Other/Generic,Other Brand,New,5,110.41,129.89,15.0,19.48,1,Mid-Range ($75–$200),4.713217,13.8,37.0,10.0,0.7872,Medium Demand,4085.17,3.637586,8.315363,3.1623,4K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,8.0,1,1,65.84,Seller_43,Flanders,NJ,United States,161,61,0.7252,0,2.0,99.5
Solar Security Camera System Wireless Outdoor Dual-Lens Dual PIR Detect NVR Set,Camcamp,,,Wireless Solar Security Camera System,IP/Smart Camera Systems,Other/Generic,Other Brand,New,5,309.99,,0.0,0.0,0,Premium ($200–$500),5.739761,,6.0,6.0,0.5,Low Demand,1859.94,1.94591,7.528837,2.4495,Unknown,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,,1,3,49.76,Seller_44,Hollis,NY,United States,162,60,0.7297,0,3.0,99.2
ANNKE 4PCS 100FT 30m Video Power BNC Cable for CCTV Security Camera System White,Annke,XCL038,713651297148,Cable/Accessory,Accessories,Other/Generic,Other Brand,New,5,25.19,,0.0,0.0,0,Value ($25–$75),3.265378,,1450.0,10.0,0.9932,Viral (Top 5%),36525.5,7.280008,10.505793,3.1623,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,4,0,69.25,Seller_14,Flanders,NJ,United States,162,60,0.7297,0,6.0,98.4
"JENNOV 10""LCD 10CH 5MP NVR WiFi IP Outdoor Wireless Security Camera System CCTV",Jennov,,,Camera,IP/Smart Camera Systems,Other/Generic,Other Brand,New,5,228.79,259.99,12.0,31.2,1,Premium ($200–$500),5.437166,22.88,17.0,10.0,0.6296,Medium Demand,3889.43,2.890372,8.266275,3.1623,5MP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,10.0,1,2,58.36,Seller_45,Grand Prairie,TX,United States,168,12,0.9333,0,5.0,98.6
QOLSYS iQ2+ HONEYWELL 2GIG POWER G WIRELESS SYS ALARM.COM VERIZON LTE QS9201-5 U,Qolsys,,,Panel,Sensors & Motion Detectors,Other/Generic,Other Brand,Used,2,179.95,,0.0,0.0,0,Mid-Range ($75–$200),5.198221,,6.0,4.0,0.6,Low Demand,1079.7,1.94591,6.985364,2.0,Unknown,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,49.8,Seller_46,Friendswood,TX,United States,168,11,0.9385,0,51.0,86.0
"Blink Mini / Mini 2 / Mini 2K+ Security Camera – 1080p/2K, Night Vision.",Blink,Not Applicable,,Camera,Security Cameras,Blink (Amazon),Premium Consumer,New,5,65.99,,0.0,0.0,0,Value ($25–$75),4.204543,,120.0,7.0,0.9449,Medium Demand,7918.8,4.795791,8.977121,2.6458,2K/2MP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,67.14,Seller_47,Flushing,New York,United States,1,51,0.0192,1,8.0,97.8
4 Pack IR Bullet Dummy Fake Surveillance Security Camera CCTV with Record Light,Horizon,WL-KEYMOD-COVER-32,,Bullet Camera,Dummy Cameras,Other/Generic,Other Brand,New,5,21.95,,0.0,0.0,0,Budget (<$25),3.133318,,2346.0,10.0,0.9958,Viral (Top 5%),51494.7,7.760893,10.849254,3.1623,Unknown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,4,1,67.46,Seller_48,Meadow Lands,Pennsylvania,United States,1,27,0.0357,1,29.0,92.1
